PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,Filathlitikos/Greece,6-11,243,10,34,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,giannis_antetokounmpo,2013.0,2023.0,N,Y,Y,2013,1,15,Y
203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,1992-07-18T00:00:00,Panathinaikos,Greece,Panathinaikos/Greece,6-7,219,5,43,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,thanasis_antetokounmpo,2015.0,2023.0,Y,Y,Y,2014,2,51,N
1630175,Cole,Anthony,Cole Anthony,2000-05-15T00:00:00,North Carolina,USA,North Carolina/USA,6-2,185,3,50,Guard,Active,Y,1610612753,Magic,ORL,magic,Orlando,cole_anthony,2020.0,2023.0,N,Y,Y,2020,1,15,N
1628384,OG,Anunoby,OG Anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-7,240,6,8,Forward-Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,og_anunoby,2017.0,2023.0,N,Y,Y,2017,1,23,N
1627853,Ryan,Arcidiacono,Ryan Arcidiacono,1994-03-26T00:00:00,Villanova,USA,Villanova/USA,6-3,195,6,51,Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,ryan_arcidiacono,2017.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630166,Deni,Avdija,Deni Avdija,2001-01-03T00:00:00,Maccabi Tel Aviv,Israel,Maccabi Tel Aviv/Israel,6-9,210,3,8,Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,deni_avdija,2020.0,2023.0,N,Y,Y,2020,1,9,N
1629028,Deandre,Ayton,Deandre Ayton,1998-07-23T00:00:00,Arizona,Bahamas,Arizona/Bahamas,7-0,247,5,2,Center,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,deandre_ayton,2018.0,2023.0,N,Y,Y,2018,1,1,N
1628962,Udoka,Azubuike,Udoka Azubuike,1999-09-17T00:00:00,Kansas,Nigeria,Kansas/Nigeria,6-11,270,3,27,Center-Forward,Active,Y,1610612756,Suns,PHX,suns,Phoenix,udoka_azubuike,2020.0,2023.0,Y,Y,Y,2020,1,27,N
1628963,Marvin,Bagley III,Marvin Bagley III,1999-03-14T00:00:00,Duke,USA,Duke/USA,6-10,235,5,35,Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,marvin_bagley_iii,2018.0,2023.0,N,Y,Y,2018,1,2,N
1641735,Amari,Bailey,Amari Bailey,2004-02-17T00:00:00,UCLA,USA,UCLA/USA,6-3,185,0,10,Guard,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,amari_bailey,2023.0,2023.0,Y,Y,Y,2023,2,41,N
1631116,Patrick,Baldwin Jr.,Patrick Baldwin Jr.,2002-11-18T00:00:00,Wisconsin-Milwaukee,USA,Wisconsin-Milwaukee/USA,6-9,220,1,7,Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,patrick_baldwin_jr,2022.0,2023.0,Y,Y,Y,2022,1,28,N
1630163,LaMelo,Ball,LaMelo Ball,2001-08-22T00:00:00,Illawarra,USA,Illawarra/USA,6-7,180,3,1,Guard,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,lamelo_ball,2020.0,2023.0,N,Y,Y,2020,1,3,N
1628366,Lonzo,Ball,Lonzo Ball,1997-10-27T00:00:00,UCLA,USA,UCLA/USA,6-6,190,5,2,Guard,Active,N,1610612741,Bulls,CHI,bulls,Chicago,lonzo_ball,2017.0,2023.0,N,Y,Y,2017,1,2,N
1628964,Mo,Bamba,Mo Bamba,1998-05-12T00:00:00,Texas,USA,Texas/USA,7-0,231,5,7,Center,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,mohamed_bamba,2018.0,2023.0,N,Y,Y,2018,1,6,N
1631094,Paolo,Banchero,Paolo Banchero,2002-11-12T00:00:00,Duke,USA,Duke/USA,6-10,250,1,5,Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,paolo_banchero,2022.0,2023.0,N,Y,Y,2022,1,1,N
1630217,Desmond,Bane,Desmond Bane,1998-06-25T00:00:00,TCU,USA,TCU/USA,6-5,215,3,22,Guard,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,desmond_bane,2020.0,2023.0,N,Y,Y,2020,1,30,N
1630625,Dalano,Banton,Dalano Banton,1999-11-07T00:00:00,Nebraska,Canada,Nebraska/Canada,6-8,204,2,45,Forward,Active,Y,1610612738,Celtics,BOS,celtics,Boston,dalano_banton,2021.0,2023.0,Y,Y,Y,2021,2,46,N
1631230,Dominick,Barlow,Dominick Barlow,2003-05-26T00:00:00,Overtime Elite,USA,Overtime Elite/USA,6-9,215,1,26,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,dominick_barlow,2022.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
203084,Harrison,Barnes,Harrison Barnes,1992-05-30T00:00:00,North Carolina,USA,North Carolina/USA,6-8,225,11,40,Forward,Active,Y,1610612758,Kings,SAC,kings,Sacramento,harrison_barnes,2012.0,2023.0,N,Y,Y,2012,1,7,N
1630567,Scottie,Barnes,Scottie Barnes,2001-08-01T00:00:00,Florida State,USA,Florida State/USA,6-7,237,2,4,Forward-Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,scottie_barnes,2021.0,2023.0,N,Y,Y,2021,1,4,N
1629628,RJ,Barrett,RJ Barrett,2000-06-14T00:00:00,Duke,Canada,Duke/Canada,6-6,214,4,9,Forward-Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,rj_barrett,2019.0,2023.0,N,Y,Y,2019,1,3,N
1629646,Charles,Bassey,Charles Bassey,2000-10-28T00:00:00,Western Kentucky,Nigeria,Western Kentucky/Nigeria,6-10,230,2,28,Center-Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,charles_bassey,2021.0,2023.0,Y,Y,Y,2021,2,53,N
1641734,Emoni,Bates,Emoni Bates,2004-01-28T00:00:00,Eastern Michigan,USA,Eastern Michigan/USA,6-8,170,0,21,Forward,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,emoni_bates,2023.0,2023.0,Y,Y,Y,2023,2,49,N
1628966,Keita,Bates-Diop,Keita Bates-Diop,1996-01-23T00:00:00,Ohio State,USA,Ohio State/USA,6-8,229,5,21,Forward,Active,Y,1610612756,Suns,PHX,suns,Phoenix,keita_bates-diop,2018.0,2023.0,Y,Y,Y,2018,2,48,N
201587,Nicolas,Batum,Nicolas Batum,1988-12-14T00:00:00,Le Mans,France,Le Mans/France,6-8,230,15,40,Guard-Forward,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,nicolas_batum,2008.0,2023.0,N,Y,Y,2008,1,25,N
203078,Bradley,Beal,Bradley Beal,1993-06-28T00:00:00,Florida,USA,Florida/USA,6-4,207,11,3,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,bradley_beal,2012.0,2023.0,N,Y,Y,2012,1,3,N
1627736,Malik,Beasley,Malik Beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,6-4,187,7,5,Guard,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,malik_beasley,2016.0,2023.0,Y,Y,Y,2016,1,19,N
1630699,MarJon,Beauchamp,MarJon Beauchamp,2000-10-12T00:00:00,NBA G League Ignite,USA,NBA G League Ignite/USA,6-7,199,1,3,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,marjon_beauchamp,2021.0,2023.0,Y,Y,Y,2022,1,24,N
1641777,Charles,Bediako,Charles Bediako,2002-03-10T00:00:00,Alabama,Canada,Alabama/Canada,,,0,,,Inactive,Y,0,,,,,charles_bediako,,,Y,N,Y,Undrafted,Undrafted,Undrafted,N
202722,Davis,Bertans,Davis Bertans,1992-11-12T00:00:00,Baskonia,Latvia,Baskonia/Latvia,6-10,225,7,9,Forward,Active,Y,1610612760,Thunder,OKC,thunder,Oklahoma City,davis_bertans,2016.0,2023.0,Y,Y,Y,2011,2,42,N
201976,Patrick,Beverley,Patrick Beverley,1988-07-12T00:00:00,Arkansas,USA,Arkansas/USA,6-2,180,11,22,Guard,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,patrick_beverley,2012.0,2023.0,Y,Y,Y,2009,2,42,N
1630180,Saddiq,Bey,Saddiq Bey,1999-04-09T00:00:00,Villanova,USA,Villanova/USA,6-7,215,3,41,Guard-Forward,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,saddiq_bey,2020.0,2023.0,N,Y,Y,2020,1,19,N
1629048,Goga,Bitadze,Goga Bitadze,1999-07-20T00:00:00,Mega Basket,Georgia,Mega Basket/Georgia,6-10,250,4,35,Center-Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,goga_bitadze,2019.0,2023.0,Y,Y,Y,2019,1,18,N
1641931,Onuralp,Bitim,Onuralp Bitim,1999-03-31T00:00:00,Bursaspor,Turkey,Bursaspor/Turkey,6-6,215,0,17,Forward,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,onuralp_bitim,2023.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
202687,Bismack,Biyombo,Bismack Biyombo,1992-08-28T00:00:00,Baloncesto Fuenlabrada,Democratic Republic of the Congo,Baloncesto Fuenlabrada/DRC,6-8,255,12,,Center,Inactive,Y,0,,,,,bismack_biyombo,2011.0,2023.0,N,Y,Y,2011,1,7,N
1641710,Anthony,Black,Anthony Black,2004-01-20T00:00:00,Arkansas,USA,Arkansas/USA,6-7,200,0,0,Guard,Active,Y,1610612753,Magic,ORL,magic,Orlando,anthony_black,2023.0,2023.0,N,Y,Y,2023,1,6,N
1641778,Leaky,Black,Leaky Black,1999-06-14T00:00:00,North Carolina,USA,North Carolina/USA,6-6,209,0,12,Forward,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,leaky_black,2023.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,1992-08-18T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-5,225,6,13,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,bogdan_bogdanovic,2017.0,2023.0,N,Y,Y,2014,1,27,N
202711,Bojan,Bogdanovic,Bojan Bogdanovic,1989-04-18T00:00:00,Fenerbahce,Croatia,Fenerbahce/Croatia,6-7,226,9,44,Forward,Active,Y,1610612765,Pistons,DET,pistons,Detroit,bojan_bogdanovic,2014.0,2023.0,N,Y,Y,2011,2,31,N
1629626,Bol,Bol,Bol Bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,7-3,220,4,11,Center-Forward,Active,Y,1610612756,Suns,PHX,suns,Phoenix,bol_bol,2019.0,2023.0,Y,Y,Y,2019,2,44,N
1629716,Marques,Bolden,Marques Bolden,1998-04-17T00:00:00,Duke,USA,Duke/USA,6-10,249,2,,Center,Inactive,Y,0,,,,,marques_bolden,2019.0,2023.0,Y,Y,Y,2019,,,N
1626164,Devin,Booker,Devin Booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-6,206,8,1,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,devin_booker,2015.0,2023.0,N,Y,Y,2015,1,13,N
1630527,Brandon,Boston Jr.,Brandon Boston Jr.,2001-11-28T00:00:00,Kentucky,USA,Kentucky/USA,6-6,188,2,4,Guard,Active,Y,1610612746,Clippers,LAC,clippers,LA,brandon_boston_jr,2021.0,2023.0,Y,Y,Y,2021,2,51,N
1628449,Chris,Boucher,Chris Boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,Oregon/Saint Lucia,6-9,200,6,25,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,chris_boucher,2017.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630547,James,Bouknight,James Bouknight,2000-09-18T00:00:00,Connecticut,USA,Connecticut/USA,6-4,190,2,2,Guard,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,james_bouknight,2021.0,2023.0,Y,Y,Y,2021,1,11,N
1631103,Malaki,Branham,Malaki Branham,2003-05-12T00:00:00,Ohio State,USA,Ohio State/USA,6-4,180,1,22,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,malaki_branham,2022.0,2023.0,Y,Y,Y,2022,1,20,N
1631128,Christian,Braun,Christian Braun,2001-04-17T00:00:00,Kansas,USA,Kansas/USA,6-6,220,1,0,Guard,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,christian_braun,2022.0,2023.0,N,Y,Y,2022,1,21,N
1628969,Mikal,Bridges,Mikal Bridges,1996-08-30T00:00:00,Villanova,USA,Villanova/USA,6-6,209,5,1,Guard-Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,mikal_bridges,2018.0,2023.0,N,Y,Y,2018,1,10,N
1628970,Miles,Bridges,Miles Bridges,1998-03-21T00:00:00,Michigan State,USA,Michigan State/USA,6-7,225,4,0,Forward,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,miles_bridges,2018.0,2023.0,N,Y,Y,2018,1,12,N
1629052,Oshae,Brissett,Oshae Brissett,1998-06-20T00:00:00,Syracuse,Canada,Syracuse/Canada,6-7,210,4,12,Forward-Guard,Active,Y,1610612738,Celtics,BOS,celtics,Boston,oshae_brissett,2019.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1627763,Malcolm,Brogdon,Malcolm Brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,6-4,229,7,11,Guard,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,malcolm_brogdon,2016.0,2023.0,N,Y,Y,2016,2,36,N
1629717,Armoni,Brooks,Armoni Brooks,1998-06-05T00:00:00,Houston,USA,Houston/USA,6-3,195,2,,Guard,Inactive,Y,0,,,,,armoni_brooks,2020.0,2023.0,Y,Y,Y,2019,,,N
1628415,Dillon,Brooks,Dillon Brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,6-6,225,6,9,Guard-Forward,Active,Y,1610612745,Rockets,HOU,rockets,Houston,dillon_brooks,2017.0,2023.0,N,Y,Y,2017,2,45,N
1628971,Bruce,Brown,Bruce Brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,6-4,202,5,11,Guard-Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,bruce_brown,2018.0,2023.0,Y,Y,Y,2018,2,42,N
1627759,Jaylen,Brown,Jaylen Brown,1996-10-24T00:00:00,California,USA,California/USA,6-6,223,7,7,Guard-Forward,Active,Y,1610612738,Celtics,BOS,celtics,Boston,jaylen_brown,2016.0,2023.0,N,Y,Y,2016,1,3,N
1631112,Kendall,Brown,Kendall Brown,2003-05-11T00:00:00,Baylor,USA,Baylor/USA,6-7,205,1,10,Guard,Active,Y,1610612754,Pacers,IND,pacers,Indiana,kendall_brown,2022.0,2023.0,Y,Y,Y,2022,2,48,N
1641738,Kobe,Brown,Kobe Brown,2000-01-01T00:00:00,Missouri,USA,Missouri/USA,6-7,250,0,21,Forward,Active,Y,1610612746,Clippers,LAC,clippers,LA,kobe_brown,2023.0,2023.0,Y,Y,Y,2023,1,30,N
1629650,Moses,Brown,Moses Brown,1999-10-13T00:00:00,UCLA,USA,UCLA/USA,7-2,258,4,10,Center,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,moses_brown,2019.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630535,Greg,Brown III,Greg Brown III,2001-09-01T00:00:00,Texas,USA,Texas/USA,6-7,206,2,36,Forward,Active,Y,1610612742,Mavericks,DAL,mavericks,Dallas,greg_brown_iii,2021.0,2023.0,Y,Y,Y,2021,2,43,N
1629718,Charlie,Brown Jr.,Charlie Brown Jr.,1997-02-02T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,6-6,199,3,44,Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,charles_brown,2019.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1628972,Troy,Brown Jr.,Troy Brown Jr.,1999-07-28T00:00:00,Oregon,USA,Oregon/USA,6-7,215,5,23,Guard-Forward,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,troy_brown_jr,2018.0,2023.0,Y,Y,Y,2018,1,15,N
1628973,Jalen,Brunson,Jalen Brunson,1996-08-31T00:00:00,Villanova,USA,Villanova/USA,6-2,190,5,11,Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,jalen_brunson,2018.0,2023.0,N,Y,Y,2018,2,33,N
1628418,Thomas,Bryant,Thomas Bryant,1997-07-31T00:00:00,Indiana,USA,Indiana/USA,6-10,248,6,31,Center-Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,thomas_bryant,2017.0,2023.0,Y,Y,Y,2017,2,42,N
1641723,Kobe,Bufkin,Kobe Bufkin,2003-09-21T00:00:00,Michigan,USA,Michigan/USA,6-5,195,0,4,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,kobe_bufkin,2023.0,2023.0,Y,Y,Y,2023,1,15,N
203493,Reggie,Bullock Jr.,Reggie Bullock Jr.,1991-03-16T00:00:00,North Carolina,USA,North Carolina/USA,6-6,205,10,25,Guard-Forward,Active,Y,1610612745,Rockets,HOU,rockets,Houston,reggie_bullock,2013.0,2023.0,Y,Y,Y,2013,1,25,N
202692,Alec,Burks,Alec Burks,1991-07-20T00:00:00,Colorado,USA,Colorado/USA,6-5,214,12,14,Guard,Active,Y,1610612765,Pistons,DET,pistons,Detroit,alec_burks,2011.0,2023.0,Y,Y,Y,2011,1,12,N
1630215,Jared,Butler,Jared Butler,2000-08-25T00:00:00,Baylor,USA,Baylor/USA,6-3,193,2,4,Guard,Active,Y,1610612764,Wizards,WAS,wizards,Washington,jared_butler,2021.0,2023.0,Y,Y,Y,2021,2,40,N
202710,Jimmy,Butler,Jimmy Butler,1989-09-14T00:00:00,Marquette,USA,Marquette/USA,6-7,230,12,22,Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,jimmy_butler,2011.0,2023.0,N,Y,Y,2011,1,30,N
1631219,John,Butler Jr.,John Butler Jr.,2002-12-04T00:00:00,Florida State,USA,Florida State/USA,7-0,190,2,21,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,john_butler_jr,2022.0,2022.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1631288,Jamal,Cain,Jamal Cain,1999-03-20T00:00:00,Oakland,USA,Oakland/USA,6-6,191,1,8,Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,jamal_cain,2022.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,1993-02-18T00:00:00,Georgia,USA,Georgia/USA,6-5,204,10,5,Guard,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,kentavious_caldwell-pope,2013.0,2023.0,N,Y,Y,2013,1,8,N
1641739,Toumani,Camara,Toumani Camara,2000-05-08T00:00:00,Dayton,Belgium,Dayton/Belgium,6-7,226,0,33,Forward,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,toumani_camara,2023.0,2023.0,N,Y,Y,2023,2,52,N
1628427,Vlatko,Cancar,Vlatko Cancar,1997-04-10T00:00:00,San Pablo Burgos,Slovenia,San Pablo Burgos/Slovenia,6-8,236,4,31,Forward,Active,N,1610612743,Nuggets,DEN,nuggets,Denver,vlatko_cancar,2019.0,2023.0,Y,Y,Y,2017,2,49,N
203991,Clint,Capela,Clint Capela,1994-05-18T00:00:00,Elan Chalon,Switzerland,Elan Chalon/Switzerland,6-10,256,9,15,Center,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,clint_capela,2014.0,2023.0,Y,Y,Y,2014,1,25,N
1628975,Jevon,Carter,Jevon Carter,1995-09-14T00:00:00,West Virginia,USA,West Virginia/USA,6-1,200,5,5,Guard,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,jevon_carter,2018.0,2023.0,Y,Y,Y,2018,2,32,N
1628976,Wendell,Carter Jr.,Wendell Carter Jr.,1999-04-16T00:00:00,Duke,USA,Duke/USA,6-10,270,5,34,Center-Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,wendell_carter_jr,2018.0,2023.0,N,Y,Y,2018,1,7,N
1627936,Alex,Caruso,Alex Caruso,1994-02-28T00:00:00,Texas A&M,USA,Texas A&M/USA,6-5,186,6,6,Guard,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,alex_caruso,2017.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630658,Colin,Castleton,Colin Castleton,2000-05-25T00:00:00,Florida,USA,Florida/USA,6-10,250,0,14,Center,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,colin_castleton,2023.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630608,Malcolm,Cazalon,Malcolm Cazalon,2001-08-27T00:00:00,Mega Basket,France,Mega Basket/France,6-6,185,0,20,Guard,Active,Y,1610612765,Pistons,DET,pistons,Detroit,malcolm_cazalon,2023.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630577,Julian,Champagnie,Julian Champagnie,2001-06-29T00:00:00,St. John's,USA,St. John's/USA,6-7,217,1,30,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,julian_champagnie,2022.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1631108,Max,Christie,Max Christie,2003-02-10T00:00:00,Michigan State,USA,Michigan State/USA,6-5,190,1,10,Guard,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,max_christie,2022.0,2023.0,Y,Y,Y,2022,2,35,N
1630528,Josh,Christopher,Josh Christopher,2001-12-08T00:00:00,Arizona State,USA,Arizona State/USA,6-4,215,3,9,Guard,Inactive,Y,1610612745,Rockets,HOU,rockets,Houston,josh_christopher,2021.0,2022.0,Y,Y,Y,2021,1,24,N
1631321,Sidy,Cissoko,Sidy Cissoko,2004-04-02T00:00:00,NBA G League Ignite,France,NBA G League Ignite/France,6-6,200,0,25,Guard,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,sidy_cissoko,2022.0,2023.0,Y,Y,Y,2023,2,44,N
1641740,Jaylen,Clark,Jaylen Clark,2001-10-13T00:00:00,UCLA,USA,UCLA/USA,6-4,205,0,0,Guard,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,jaylen_clark,2023.0,2023.0,N,N,N,2023,2,53,N
1629634,Brandon,Clarke,Brandon Clarke,1996-09-19T00:00:00,Gonzaga,Canada,Gonzaga/Canada,6-8,215,4,15,Forward,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,brandon_clarke,2019.0,2023.0,N,Y,Y,2019,1,21,N
203903,Jordan,Clarkson,Jordan Clarkson,1992-06-07T00:00:00,Missouri,USA,Missouri/USA,6-3,194,9,00,Guard,Active,Y,1610612762,Jazz,UTA,jazz,Utah,jordan_clarkson,2014.0,2023.0,Y,Y,Y,2014,2,46,N
1629651,Nic,Claxton,Nic Claxton,1999-04-17T00:00:00,Georgia,USA,Georgia/USA,6-11,215,4,33,Center,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,nicolas_claxton,2019.0,2023.0,Y,Y,Y,2019,2,31,N
1641730,Noah,Clowney,Noah Clowney,2004-07-14T00:00:00,Alabama,USA,Alabama/USA,6-9,210,0,21,Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,noah_clowney,2023.0,2023.0,Y,Y,Y,2023,1,21,N
