,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
25,1630217,Desmond,Bane,Desmond Bane,"Bane, Desmond",D. Bane,desmond-bane,1998-06-25T00:00:00,TCU,USA,TCU/USA,6-5,215,3,22,Guard,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,desmond_bane,2020.0,2023.0,N,Y,Y,2020,1,30,N
26,1630625,Dalano,Banton,Dalano Banton,"Banton, Dalano",D. Banton,dalano-banton,1999-11-07T00:00:00,Nebraska,Canada,Nebraska/Canada,6-8,204,2,45,Forward,Active,Y,1610612738,Celtics,BOS,celtics,Boston,dalano_banton,2021.0,2023.0,Y,Y,Y,2021,2,46,N
27,1631230,Dominick,Barlow,Dominick Barlow,"Barlow, Dominick",D. Barlow,dominick-barlow,2003-05-26T00:00:00,Overtime Elite,USA,Overtime Elite/USA,6-9,215,1,26,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,dominick_barlow,2022.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
28,203084,Harrison,Barnes,Harrison Barnes,"Barnes, Harrison",H. Barnes,harrison-barnes,1992-05-30T00:00:00,North Carolina,USA,North Carolina/USA,6-8,225,11,40,Forward,Active,Y,1610612758,Kings,SAC,kings,Sacramento,harrison_barnes,2012.0,2023.0,N,Y,Y,2012,1,7,N
29,1630567,Scottie,Barnes,Scottie Barnes,"Barnes, Scottie",S. Barnes,scottie-barnes,2001-08-01T00:00:00,Florida State,USA,Florida State/USA,6-7,237,2,4,Forward-Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,scottie_barnes,2021.0,2023.0,N,Y,Y,2021,1,4,N
30,1629628,RJ,Barrett,RJ Barrett,"Barrett, RJ",R. Barrett,rj-barrett,2000-06-14T00:00:00,Duke,Canada,Duke/Canada,6-6,214,4,9,Forward-Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,rj_barrett,2019.0,2023.0,N,Y,Y,2019,1,3,N
31,1629646,Charles,Bassey,Charles Bassey,"Bassey, Charles",C. Bassey,charles-bassey,2000-10-28T00:00:00,Western Kentucky,Nigeria,Western Kentucky/Nigeria,6-10,230,2,28,Center-Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,charles_bassey,2021.0,2023.0,Y,Y,Y,2021,2,53,N
32,1641734,Emoni,Bates,Emoni Bates,"Bates, Emoni",E. Bates,emoni-bates,2004-01-28T00:00:00,Eastern Michigan,USA,Eastern Michigan/USA,6-8,170,0,21,Forward,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,emoni_bates,2023.0,2023.0,Y,Y,Y,2023,2,49,N
33,1628966,Keita,Bates-Diop,Keita Bates-Diop,"Bates-Diop, Keita",K. Bates-Diop,keita-bates-diop,1996-01-23T00:00:00,Ohio State,USA,Ohio State/USA,6-8,229,5,21,Forward,Active,Y,1610612756,Suns,PHX,suns,Phoenix,keita_bates-diop,2018.0,2023.0,Y,Y,Y,2018,2,48,N
34,201587,Nicolas,Batum,Nicolas Batum,"Batum, Nicolas",N. Batum,nicolas-batum,1988-12-14T00:00:00,Le Mans,France,Le Mans/France,6-8,230,15,40,Guard-Forward,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,nicolas_batum,2008.0,2023.0,N,Y,Y,2008,1,25,N
35,203078,Bradley,Beal,Bradley Beal,"Beal, Bradley",B. Beal,bradley-beal,1993-06-28T00:00:00,Florida,USA,Florida/USA,6-4,207,11,3,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,bradley_beal,2012.0,2023.0,N,Y,Y,2012,1,3,N
36,1627736,Malik,Beasley,Malik Beasley,"Beasley, Malik",M. Beasley,malik-beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,6-4,187,7,5,Guard,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,malik_beasley,2016.0,2023.0,Y,Y,Y,2016,1,19,N
37,1630699,MarJon,Beauchamp,MarJon Beauchamp,"Beauchamp, MarJon",M. Beauchamp,marjon-beauchamp,2000-10-12T00:00:00,NBA G League Ignite,USA,NBA G League Ignite/USA,6-7,199,1,3,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,marjon_beauchamp,2021.0,2023.0,Y,Y,Y,2022,1,24,N
38,1641777,Charles,Bediako,Charles Bediako,"Bediako, Charles",C. Bediako,charles-bediako,2002-03-10T00:00:00,Alabama,Canada,Alabama/Canada,,,0,,,Inactive,Y,0,,,,,charles_bediako,,,Y,N,Y,Undrafted,Undrafted,Undrafted,N
39,202722,Davis,Bertans,Davis Bertans,"Bertans, Davis",D. Bertans,davis-bertans,1992-11-12T00:00:00,Baskonia,Latvia,Baskonia/Latvia,6-10,225,7,9,Forward,Active,Y,1610612760,Thunder,OKC,thunder,Oklahoma City,davis_bertans,2016.0,2023.0,Y,Y,Y,2011,2,42,N
40,201976,Patrick,Beverley,Patrick Beverley,"Beverley, Patrick",P. Beverley,patrick-beverley,1988-07-12T00:00:00,Arkansas,USA,Arkansas/USA,6-2,180,11,22,Guard,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,patrick_beverley,2012.0,2023.0,Y,Y,Y,2009,2,42,N
41,1630180,Saddiq,Bey,Saddiq Bey,"Bey, Saddiq",S. Bey,saddiq-bey,1999-04-09T00:00:00,Villanova,USA,Villanova/USA,6-7,215,3,41,Guard-Forward,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,saddiq_bey,2020.0,2023.0,N,Y,Y,2020,1,19,N
42,1629048,Goga,Bitadze,Goga Bitadze,"Bitadze, Goga",G. Bitadze,goga-bitadze,1999-07-20T00:00:00,Mega Basket,Georgia,Mega Basket/Georgia,6-10,250,4,35,Center-Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,goga_bitadze,2019.0,2023.0,Y,Y,Y,2019,1,18,N
43,1641931,Onuralp,Bitim,Onuralp Bitim,"Bitim, Onuralp",O. Bitim,onuralp-bitim,1999-03-31T00:00:00,Bursaspor,Turkey,Bursaspor/Turkey,6-6,215,0,17,Forward,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,onuralp_bitim,2023.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
44,202687,Bismack,Biyombo,Bismack Biyombo,"Biyombo, Bismack",B. Biyombo,bismack-biyombo,1992-08-28T00:00:00,Baloncesto Fuenlabrada,Democratic Republic of the Congo,Baloncesto Fuenlabrada/DRC,6-8,255,12,,Center,Inactive,Y,0,,,,,bismack_biyombo,2011.0,2023.0,N,Y,Y,2011,1,7,N
45,1641710,Anthony,Black,Anthony Black,"Black, Anthony",A. Black,anthony-black,2004-01-20T00:00:00,Arkansas,USA,Arkansas/USA,6-7,200,0,0,Guard,Active,Y,1610612753,Magic,ORL,magic,Orlando,anthony_black,2023.0,2023.0,N,Y,Y,2023,1,6,N
46,1641778,Leaky,Black,Leaky Black,"Black, Leaky",L. Black,leaky-black,1999-06-14T00:00:00,North Carolina,USA,North Carolina/USA,6-6,209,0,12,Forward,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,leaky_black,2023.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
47,203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,"Bogdanovic, Bogdan",B. Bogdanovic,bogdan-bogdanovic,1992-08-18T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-5,225,6,13,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,bogdan_bogdanovic,2017.0,2023.0,N,Y,Y,2014,1,27,N
48,202711,Bojan,Bogdanovic,Bojan Bogdanovic,"Bogdanovic, Bojan",B. Bogdanovic,bojan-bogdanovic,1989-04-18T00:00:00,Fenerbahce,Croatia,Fenerbahce/Croatia,6-7,226,9,44,Forward,Active,Y,1610612765,Pistons,DET,pistons,Detroit,bojan_bogdanovic,2014.0,2023.0,N,Y,Y,2011,2,31,N
49,1629626,Bol,Bol,Bol Bol,"Bol, Bol",B. Bol,bol-bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,7-3,220,4,11,Center-Forward,Active,Y,1610612756,Suns,PHX,suns,Phoenix,bol_bol,2019.0,2023.0,Y,Y,Y,2019,2,44,N
50,1629716,Marques,Bolden,Marques Bolden,"Bolden, Marques",M. Bolden,marques-bolden,1998-04-17T00:00:00,Duke,USA,Duke/USA,6-10,249,2,,Center,Inactive,Y,0,,,,,marques_bolden,2019.0,2023.0,Y,Y,Y,2019,,,N
51,1626164,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,devin-booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-6,206,8,1,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,devin_booker,2015.0,2023.0,N,Y,Y,2015,1,13,N
52,1630527,Brandon,Boston Jr.,Brandon Boston Jr.,"Boston Jr., Brandon",B. Boston Jr.,brandon-boston-jr,2001-11-28T00:00:00,Kentucky,USA,Kentucky/USA,6-6,188,2,4,Guard,Active,Y,1610612746,Clippers,LAC,clippers,LA,brandon_boston_jr,2021.0,2023.0,Y,Y,Y,2021,2,51,N
53,1628449,Chris,Boucher,Chris Boucher,"Boucher, Chris",C. Boucher,chris-boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,Oregon/Saint Lucia,6-9,200,6,25,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,chris_boucher,2017.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
54,1630547,James,Bouknight,James Bouknight,"Bouknight, James",J. Bouknight,james-bouknight,2000-09-18T00:00:00,Connecticut,USA,Connecticut/USA,6-4,190,2,2,Guard,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,james_bouknight,2021.0,2023.0,Y,Y,Y,2021,1,11,N
55,1631103,Malaki,Branham,Malaki Branham,"Branham, Malaki",M. Branham,malaki-branham,2003-05-12T00:00:00,Ohio State,USA,Ohio State/USA,6-4,180,1,22,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,malaki_branham,2022.0,2023.0,Y,Y,Y,2022,1,20,N
56,1631128,Christian,Braun,Christian Braun,"Braun, Christian",C. Braun,christian-braun,2001-04-17T00:00:00,Kansas,USA,Kansas/USA,6-6,220,1,0,Guard,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,christian_braun,2022.0,2023.0,N,Y,Y,2022,1,21,N
57,1628969,Mikal,Bridges,Mikal Bridges,"Bridges, Mikal",M. Bridges,mikal-bridges,1996-08-30T00:00:00,Villanova,USA,Villanova/USA,6-6,209,5,1,Guard-Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,mikal_bridges,2018.0,2023.0,N,Y,Y,2018,1,10,N
58,1628970,Miles,Bridges,Miles Bridges,"Bridges, Miles",M. Bridges,miles-bridges,1998-03-21T00:00:00,Michigan State,USA,Michigan State/USA,6-7,225,4,0,Forward,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,miles_bridges,2018.0,2023.0,N,Y,Y,2018,1,12,N
59,1629052,Oshae,Brissett,Oshae Brissett,"Brissett, Oshae",O. Brissett,oshae-brissett,1998-06-20T00:00:00,Syracuse,Canada,Syracuse/Canada,6-7,210,4,12,Forward-Guard,Active,Y,1610612738,Celtics,BOS,celtics,Boston,oshae_brissett,2019.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
60,1627763,Malcolm,Brogdon,Malcolm Brogdon,"Brogdon, Malcolm",M. Brogdon,malcolm-brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,6-4,229,7,11,Guard,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,malcolm_brogdon,2016.0,2023.0,N,Y,Y,2016,2,36,N
61,1629717,Armoni,Brooks,Armoni Brooks,"Brooks, Armoni",A. Brooks,armoni-brooks,1998-06-05T00:00:00,Houston,USA,Houston/USA,6-3,195,2,,Guard,Inactive,Y,0,,,,,armoni_brooks,2020.0,2023.0,Y,Y,Y,2019,,,N
62,1628415,Dillon,Brooks,Dillon Brooks,"Brooks, Dillon",D. Brooks,dillon-brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,6-6,225,6,9,Guard-Forward,Active,Y,1610612745,Rockets,HOU,rockets,Houston,dillon_brooks,2017.0,2023.0,N,Y,Y,2017,2,45,N
63,1628971,Bruce,Brown,Bruce Brown,"Brown, Bruce",B. Brown,bruce-brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,6-4,202,5,11,Guard-Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,bruce_brown,2018.0,2023.0,Y,Y,Y,2018,2,42,N
64,1627759,Jaylen,Brown,Jaylen Brown,"Brown, Jaylen",J. Brown,jaylen-brown,1996-10-24T00:00:00,California,USA,California/USA,6-6,223,7,7,Guard-Forward,Active,Y,1610612738,Celtics,BOS,celtics,Boston,jaylen_brown,2016.0,2023.0,N,Y,Y,2016,1,3,N
65,1631112,Kendall,Brown,Kendall Brown,"Brown, Kendall",K. Brown,kendall-brown,2003-05-11T00:00:00,Baylor,USA,Baylor/USA,6-7,205,1,10,Guard,Active,Y,1610612754,Pacers,IND,pacers,Indiana,kendall_brown,2022.0,2023.0,Y,Y,Y,2022,2,48,N
66,1641738,Kobe,Brown,Kobe Brown,"Brown, Kobe",K. Brown,kobe-brown,2000-01-01T00:00:00,Missouri,USA,Missouri/USA,6-7,250,0,21,Forward,Active,Y,1610612746,Clippers,LAC,clippers,LA,kobe_brown,2023.0,2023.0,Y,Y,Y,2023,1,30,N
67,1629650,Moses,Brown,Moses Brown,"Brown, Moses",M. Brown,moses-brown,1999-10-13T00:00:00,UCLA,USA,UCLA/USA,7-2,258,4,10,Center,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,moses_brown,2019.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
68,1630535,Greg,Brown III,Greg Brown III,"Brown III, Greg",G. Brown III,greg-brown-iii,2001-09-01T00:00:00,Texas,USA,Texas/USA,6-7,206,2,36,Forward,Active,Y,1610612742,Mavericks,DAL,mavericks,Dallas,greg_brown_iii,2021.0,2023.0,Y,Y,Y,2021,2,43,N
69,1629718,Charlie,Brown Jr.,Charlie Brown Jr.,"Brown Jr., Charlie",C. Brown Jr.,charlie-brown-jr,1997-02-02T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,6-6,199,3,44,Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,charles_brown,2019.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
70,1628972,Troy,Brown Jr.,Troy Brown Jr.,"Brown Jr., Troy",T. Brown Jr.,troy-brown-jr,1999-07-28T00:00:00,Oregon,USA,Oregon/USA,6-7,215,5,23,Guard-Forward,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,troy_brown_jr,2018.0,2023.0,Y,Y,Y,2018,1,15,N
71,1628973,Jalen,Brunson,Jalen Brunson,"Brunson, Jalen",J. Brunson,jalen-brunson,1996-08-31T00:00:00,Villanova,USA,Villanova/USA,6-2,190,5,11,Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,jalen_brunson,2018.0,2023.0,N,Y,Y,2018,2,33,N
72,1628418,Thomas,Bryant,Thomas Bryant,"Bryant, Thomas",T. Bryant,thomas-bryant,1997-07-31T00:00:00,Indiana,USA,Indiana/USA,6-10,248,6,31,Center-Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,thomas_bryant,2017.0,2023.0,Y,Y,Y,2017,2,42,N
73,1641723,Kobe,Bufkin,Kobe Bufkin,"Bufkin, Kobe",K. Bufkin,kobe-bufkin,2003-09-21T00:00:00,Michigan,USA,Michigan/USA,6-5,195,0,4,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,kobe_bufkin,2023.0,2023.0,Y,Y,Y,2023,1,15,N
74,203493,Reggie,Bullock Jr.,Reggie Bullock Jr.,"Bullock Jr., Reggie",R. Bullock Jr.,reggie-bullock-jr,1991-03-16T00:00:00,North Carolina,USA,North Carolina/USA,6-6,205,10,25,Guard-Forward,Active,Y,1610612745,Rockets,HOU,rockets,Houston,reggie_bullock,2013.0,2023.0,Y,Y,Y,2013,1,25,N
75,202692,Alec,Burks,Alec Burks,"Burks, Alec",A. Burks,alec-burks,1991-07-20T00:00:00,Colorado,USA,Colorado/USA,6-5,214,12,14,Guard,Active,Y,1610612765,Pistons,DET,pistons,Detroit,alec_burks,2011.0,2023.0,Y,Y,Y,2011,1,12,N
76,1630215,Jared,Butler,Jared Butler,"Butler, Jared",J. Butler,jared-butler,2000-08-25T00:00:00,Baylor,USA,Baylor/USA,6-3,193,2,4,Guard,Active,Y,1610612764,Wizards,WAS,wizards,Washington,jared_butler,2021.0,2023.0,Y,Y,Y,2021,2,40,N
77,202710,Jimmy,Butler,Jimmy Butler,"Butler, Jimmy",J. Butler,jimmy-butler,1989-09-14T00:00:00,Marquette,USA,Marquette/USA,6-7,230,12,22,Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,jimmy_butler,2011.0,2023.0,N,Y,Y,2011,1,30,N
78,1631219,John,Butler Jr.,John Butler Jr.,"Butler Jr., John",J. Butler Jr.,john-butler-jr,2002-12-04T00:00:00,Florida State,USA,Florida State/USA,7-0,190,2,21,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,john_butler_jr,2022.0,2022.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
79,1631288,Jamal,Cain,Jamal Cain,"Cain, Jamal",J. Cain,jamal-cain,1999-03-20T00:00:00,Oakland,USA,Oakland/USA,6-6,191,1,8,Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,jamal_cain,2022.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
